player_id,salary,season,year,team,salary_cap,team_total_salary,salary_perc,salary_team_rank,salary_team_var,holdout_dummy,sal_cap_perc_increase
smithke01,700000,1990-91,1990,Houston Rockets,11871000,10500000,0.066666667,5,7.50E+11,0,0.211079372
smithla01,800000,1990-91,1990,Houston Rockets,11871000,10500000,0.076190476,4,7.50E+11,0,0.211079372
thorpot01,1760000,1990-91,1990,Houston Rockets,11871000,10500000,0.167619048,2,7.50E+11,0,0.211079372
winchke01,120000,1990-91,1990,Houston Rockets,11871000,10500000,0.011428571,12.5,7.50E+11,0,0.211079372
woodda01,300000,1990-91,1990,Houston Rockets,11871000,10500000,0.028571429,8,7.50E+11,0,0.211079372
dreilgr01,300000,1990-91,1990,Indiana Pacers,11871000,10981000,0.027319916,11,4.14E+11,0,0.211079372
flemive01,667000,1990-91,1990,Indiana Pacers,11871000,10981000,0.06074128,7,4.14E+11,0,0.211079372
mccloge01,940000,1990-91,1990,Indiana Pacers,11871000,10981000,0.085602404,5,4.14E+11,0,0.211079372
millere01,654000,1990-91,1990,Indiana Pacers,11871000,10981000,0.059557417,8,4.14E+11,0,0.211079372
persoch01,2150000,1990-91,1990,Indiana Pacers,11871000,10981000,0.195792733,1,4.14E+11,0,0.211079372
sandemi01,760000,1990-91,1990,Indiana Pacers,11871000,10981000,0.069210454,6,4.14E+11,0,0.211079372
schrede01,1160000,1990-91,1990,Indiana Pacers,11871000,10981000,0.105637009,4,4.14E+11,0,0.211079372
smitsri01,1350000,1990-91,1990,Indiana Pacers,11871000,10981000,0.122939623,3,4.14E+11,0,0.211079372
thompla01,2000000,1990-91,1990,Indiana Pacers,11871000,10981000,0.182132775,2,4.14E+11,0,0.211079372
willike03,175000,1990-91,1990,Indiana Pacers,11871000,10981000,0.015936618,12,4.14E+11,0,0.211079372
willimi02,325000,1990-91,1990,Indiana Pacers,11871000,10981000,0.029596576,10,4.14E+11,0,0.211079372
wittmra01,500000,1990-91,1990,Indiana Pacers,11871000,10981000,0.045533194,9,4.14E+11,0,0.211079372
bannike01,400000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.039043436,10,2.99E+11,0,0.211079372
