"player_id","salary","season","year","team","salary_cap","team_total_salary","salary_perc","salary_team_rank","salary_team_var","holdout_dummy","sal_cap_perc_increase","player_year","cpa_one","cpa_two","cpa_three","cpa_four","cpa_five","cpa_six","top_player","top_two_player","top_three_player","starting_five"
"blankla01",365000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.028272657,12,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"dumarjo01",1035000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.080170411,5,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"edwarja01",935000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.072424477,6,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hastisc01",450000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.0348567,11,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hendege01",125000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.009682417,14,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"johnsvi01",1400000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.108443067,3,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"laimbbi01",1510000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.116963594,2,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"longjo01",150000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.0116189,13,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"rodmade01",880000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.068164214,7,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"rollitr01",800000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.061967467,9,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"sallejo01",575000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.044539117,10,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"thomais01",2720000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.210689388,1,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"eliema01",50000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.004484305,13,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hardati01",500000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.044843049,8.5,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"higgiro01",500000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.044843049,8.5,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hillty01",1000000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.089686099,5,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"jepsele01",505000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.04529148,7,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"listeal01",1700000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.152466368,2,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"marcisa01",1270000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.113901345,3,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"mokespa01",100000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.00896861,12,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"mullich01",2850000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.255605381,1,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"peterji01",1235000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.110762332,4,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"pritcke01",185000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.016591928,11,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"richmmi01",850000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.076233184,6,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"tolbeto01",405000,"1990-91",1990,"Golden State Warriors",11871000,11150000,0.03632287,10,6.06e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"bullama01",120000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.011428571,12.5,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"caldwad01",275000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.026190476,9.5,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"feitlda01",275000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.026190476,9.5,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"floydsl01",1400000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.133333333,3,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"jamerda01",650000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.061904762,7,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"johnsbu01",675000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.064285714,6,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"maxweve01",250000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.023809524,11,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"olajuha01",3175000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.302380952,1,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"smithke01",700000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.066666667,5,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"smithla01",800000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.076190476,4,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"thorpot01",1760000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.167619048,2,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"winchke01",120000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.011428571,12.5,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"woodda01",300000,"1990-91",1990,"Houston Rockets",11871000,10500000,0.028571429,8,7.5e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"dreilgr01",300000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.027319916,11,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
